order_date,order_line,order_id,quantity,price,total_price,model,category_1,category_2,frame_material,bikeshop_name,city,state
2011-01-25T00:00:00Z,12,15,2,9590,19180,Synapse Hi-Mod Disc Black Inc.,Road,Endurance Road,Carbon,Oklahoma City Race Equipment,Oklahoma City,OK
2011-01-25T00:00:00Z,1,16,4,1840,7360,F-Si 3,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
2011-01-25T00:00:00Z,2,16,1,1080,1080,Trail 3,Mountain,Sport,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
2011-01-25T00:00:00Z,3,16,1,585,585,Catalyst 2,Mountain,Sport,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
2011-01-25T00:00:00Z,4,16,1,705,705,Catalyst 1,Mountain,Sport,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
2011-01-25T00:00:00Z,5,16,1,7990,7990,Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon,Minneapolis Bike Shop,Minneapolis,MN
2011-01-25T00:00:00Z,6,16,1,2060,2060,F-Si 2,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
2011-01-25T00:00:00Z,7,16,1,3200,3200,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
2011-01-25T00:00:00Z,8,16,2,3840,7680,Jekyll Carbon 3,Mountain,Over Mountain,Carbon,Minneapolis Bike Shop,Minneapolis,MN
2011-01-26T00:00:00Z,1,17,1,7000,7000,Slice Hi-Mod Black Inc.,Road,Triathalon,Carbon,Cincinnati Speed,Cincinnati,OH
2011-01-28T00:00:00Z,1,18,1,815,815,CAAD8 Claris,Road,Elite Road,Aluminum,Denver Bike Shop,Denver,CO
2011-01-28T00:00:00Z,2,18,1,4260,4260,Scalpel 29 Carbon 3,Mountain,Cross Country Race,Carbon,Denver Bike Shop,Denver,CO
2011-01-28T00:00:00Z,1,19,2,11190,22380,F-Si Black Inc.,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-01-28T00:00:00Z,2,19,1,3200,3200,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
2011-01-28T00:00:00Z,1,20,1,2240,2240,Supersix Evo 105,Road,Elite Road,Carbon,Kansas City 29ers,Kansas City,KS
2011-01-28T00:00:00Z,2,20,1,2660,2660,CAAD Disc Ultegra,Road,Elite Road,Aluminum,Kansas City 29ers,Kansas City,KS
2011-01-28T00:00:00Z,3,20,1,3200,3200,Jekyll Carbon 4,Mountain,Over Mountain,Carbon,Kansas City 29ers,Kansas City,KS
2011-01-28T00:00:00Z,4,20,1,3730,3730,Habit Carbon 3,Mountain,Trail,Carbon,Kansas City 29ers,Kansas City,KS
2011-01-28T00:00:00Z,5,20,1,1950,1950,CAAD12 Disc 105,Road,Elite Road,Aluminum,Kansas City 29ers,Kansas City,KS
2011-01-28T00:00:00Z,6,20,1,3730,3730,Synapse Carbon Disc Ultegra,Road,Endurance Road,Carbon,Kansas City 29ers,Kansas City,KS
2011-01-28T00:00:00Z,7,20,1,3200,3200,Bad Habit 1,Mountain,Trail,Aluminum,Kansas City 29ers,Kansas City,KS
2011-01-28T00:00:00Z,8,20,1,1620,1620,Beast of the East 3,Mountain,Trail,Aluminum,Kansas City 29ers,Kansas City,KS
2011-01-28T00:00:00Z,9,20,1,2130,2130,Beast of the East 2,Mountain,Trail,Aluminum,Kansas City 29ers,Kansas City,KS
2011-02-01T00:00:00Z,1,21,1,8200,8200,Trigger Carbon 1,Mountain,Over Mountain,Carbon,Las Vegas Cycles,Las Vegas,NV
2011-02-01T00:00:00Z,2,21,4,7990,31960,Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon,Las Vegas Cycles,Las Vegas,NV
2011-02-01T00:00:00Z,3,21,1,3200,3200,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,Las Vegas Cycles,Las Vegas,NV
2011-02-01T00:00:00Z,4,21,1,4800,4800,Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon,Las Vegas Cycles,Las Vegas,NV
2011-02-01T00:00:00Z,5,21,1,3200,3200,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,Las Vegas Cycles,Las Vegas,NV
2011-02-01T00:00:00Z,1,22,2,2130,4260,Synapse Disc Adventure,Road,Endurance Road,Aluminum,Seattle Race Equipment,Seattle,WA
2011-02-01T00:00:00Z,2,22,1,1030,1030,Synapse Sora,Road,Endurance Road,Aluminum,Seattle Race Equipment,Seattle,WA
2011-02-01T00:00:00Z,3,22,1,3730,3730,Fat CAAD1,Mountain,Fat Bike,Aluminum,Seattle Race Equipment,Seattle,WA
2011-02-01T00:00:00Z,4,22,1,870,870,Synapse Claris,Road,Endurance Road,Aluminum,Seattle Race Equipment,Seattle,WA
2011-02-01T00:00:00Z,5,22,3,2340,7020,Habit 5,Mountain,Trail,Aluminum,Seattle Race Equipment,Seattle,WA
2011-02-01T00:00:00Z,6,22,1,5860,5860,Synapse Hi-Mod Dura Ace,Road,Endurance Road,Carbon,Seattle Race Equipment,Seattle,WA
2011-02-01T00:00:00Z,7,22,2,3500,7000,SuperX Hi-Mod CX1,Road,Cyclocross,Carbon,Seattle Race Equipment,Seattle,WA
2011-02-01T00:00:00Z,8,22,1,3200,3200,Bad Habit 1,Mountain,Trail,Aluminum,Seattle Race Equipment,Seattle,WA
2011-02-01T00:00:00Z,9,22,1,3200,3200,Synapse Carbon Ultegra 3,Road,Endurance Road,Carbon,Seattle Race Equipment,Seattle,WA
2011-02-01T00:00:00Z,10,22,2,1840,3680,Supersix Evo Tiagra,Road,Elite Road,Carbon,Seattle Race Equipment,Seattle,WA
2011-02-04T00:00:00Z,1,23,1,6070,6070,Jekyll Carbon 2,Mountain,Over Mountain,Carbon,Denver Bike Shop,Denver,CO
2011-02-04T00:00:00Z,2,23,1,2340,2340,F-Si 1,Mountain,Cross Country Race,Aluminum,Denver Bike Shop,Denver,CO
2011-02-04T00:00:00Z,3,23,1,980,980,Trail 4,Mountain,Sport,Aluminum,Denver Bike Shop,Denver,CO
2011-02-04T00:00:00Z,4,23,1,2660,2660,Synapse Carbon Disc 105,Road,Endurance Road,Carbon,Denver Bike Shop,Denver,CO
2011-02-04T00:00:00Z,5,23,1,1950,1950,Slice 105,Road,Triathalon,Carbon,Denver Bike Shop,Denver,CO
2011-02-07T00:00:00Z,1,24,1,3200,3200,Slice Ultegra D12,Road,Triathalon,Carbon,Ann Arbor Speed,Ann Arbor,MI
2011-02-07T00:00:00Z,2,24,7,2660,18620,Synapse Carbon Ultegra 4,Road,Endurance Road,Carbon,Ann Arbor Speed,Ann Arbor,MI
2011-02-07T00:00:00Z,3,24,3,10660,31980,Supersix Evo Hi-Mod Team,Road,Elite Road,Carbon,Ann Arbor Speed,Ann Arbor,MI
2011-02-07T00:00:00Z,4,24,1,870,870,Synapse Claris,Road,Endurance Road,Aluminum,Ann Arbor Speed,Ann Arbor,MI
2011-02-07T00:00:00Z,5,24,1,3940,3940,Supersix Evo Red,Road,Elite Road,Carbon,Ann Arbor Speed,Ann Arbor,MI
2011-02-07T00:00:00Z,6,24,1,1840,1840,F-Si 3,Mountain,Cross Country Race,Aluminum,Ann Arbor Speed,Ann Arbor,MI
2011-02-07T00:00:00Z,7,24,2,1950,3900,Slice 105,Road,Triathalon,Carbon,Ann Arbor Speed,Ann Arbor,MI
2011-02-07T00:00:00Z,8,24,1,415,415,Catalyst 4,Mountain,Sport,Aluminum,Ann Arbor Speed,Ann Arbor,MI
2011-02-07T00:00:00Z,9,24,1,980,980,Trail 4,Mountain,Sport,Aluminum,Ann Arbor Speed,Ann Arbor,MI
2011-02-07T00:00:00Z,10,24,1,1410,1410,CAAD8 105,Road,Elite Road,Aluminum,Ann Arbor Speed,Ann Arbor,MI
2011-02-07T00:00:00Z,11,24,1,4260,4260,CAAD12 Disc Dura Ace,Road,Elite Road,Aluminum,Ann Arbor Speed,Ann Arbor,MI
2011-02-07T00:00:00Z,1,25,1,1950,1950,CAAD12 Disc 105,Road,Elite Road,Aluminum,Albuquerque Cycles,Albuquerque,NM
2011-02-07T00:00:00Z,2,25,1,3200,3200,CAAD12 Red,Road,Elite Road,Aluminum,Albuquerque Cycles,Albuquerque,NM
2011-02-07T00:00:00Z,3,25,1,2340,2340,F-Si 1,Mountain,Cross Country Race,Aluminum,Albuquerque Cycles,Albuquerque,NM
2011-02-09T00:00:00Z,1,26,1,3200,3200,CAAD12 Red,Road,Elite Road,Aluminum,Columbus Race Equipment,Columbus,OH
2011-02-10T00:00:00Z,1,27,1,2660,2660,Supersix Evo Ultegra 4,Road,Elite Road,Carbon,Kansas City 29ers,Kansas City,KS
2011-02-10T00:00:00Z,2,27,1,3200,3200,Bad Habit 1,Mountain,Trail,Aluminum,Kansas City 29ers,Kansas City,KS
2011-02-10T00:00:00Z,3,27,1,1030,1030,CAAD8 Sora,Road,Elite Road,Aluminum,Kansas City 29ers,Kansas City,KS
2011-02-10T00:00:00Z,4,27,2,980,1960,Trail 4,Mountain,Sport,Aluminum,Kansas City 29ers,Kansas City,KS
2011-02-10T00:00:00Z,5,27,1,2340,2340,F-Si 1,Mountain,Cross Country Race,Aluminum,Kansas City 29ers,Kansas City,KS
2011-02-10T00:00:00Z,6,27,1,2880,2880,F-Si Carbon 4,Mountain,Cross Country Race,Carbon,Kansas City 29ers,Kansas City,KS
2011-02-10T00:00:00Z,7,27,3,1620,4860,Beast of the East 3,Mountain,Trail,Aluminum,Kansas City 29ers,Kansas City,KS
2011-02-10T00:00:00Z,8,27,1,1520,1520,Trail 1,Mountain,Sport,Aluminum,Kansas City 29ers,Kansas City,KS
2011-02-10T00:00:00Z,9,27,1,2660,2660,Bad Habit 2,Mountain,Trail,Aluminum,Kansas City 29ers,Kansas City,KS
2011-02-10T00:00:00Z,10,27,1,3200,3200,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,Kansas City 29ers,Kansas City,KS
2011-02-10T00:00:00Z,11,27,1,4800,4800,F-Si Carbon 2,Mountain,Cross Country Race,Carbon,Kansas City 29ers,Kansas City,KS
2011-02-10T00:00:00Z,12,27,2,3200,6400,Slice Ultegra D12,Road,Triathalon,Carbon,Kansas City 29ers,Kansas City,KS
2011-02-10T00:00:00Z,1,28,1,7990,7990,Jekyll Carbon 1,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,2,28,1,3200,3200,Bad Habit 1,Mountain,Trail,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,3,28,1,3200,3200,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,4,28,1,415,415,Catalyst 4,Mountain,Sport,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,5,28,2,11190,22380,F-Si Black Inc.,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,6,28,1,4260,4260,Supersix Evo Hi-Mod Utegra,Road,Elite Road,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,7,28,1,6390,6390,Scalpel-Si Carbon 2,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,8,28,1,1520,1520,Trail 1,Mountain,Sport,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,9,28,1,3200,3200,Supersix Evo Ultegra 3,Road,Elite Road,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,10,28,1,2060,2060,F-Si 2,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,11,28,1,3940,3940,Supersix Evo Red,Road,Elite Road,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,12,28,1,5330,5330,Synapse Hi-Mod Disc Ultegra,Road,Endurance Road,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,13,28,1,2130,2130,Fat CAAD2,Mountain,Fat Bike,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,14,28,1,7000,7000,Slice Hi-Mod Black Inc.,Road,Triathalon,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,15,28,1,6390,6390,Scalpel 29 Carbon Race,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,16,28,1,4260,4260,Scalpel-Si Carbon 4,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,17,28,1,5970,5970,Trigger Carbon 2,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,18,28,2,4260,8520,CAAD12 Disc Dura Ace,Road,Elite Road,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
2011-02-10T00:00:00Z,19,28,1,2240,2240,CAAD12 Ultegra,Road,Elite Road,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
2011-02-11T00:00:00Z,1,29,1,3200,3200,Bad Habit 1,Mountain,Trail,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
2011-02-11T00:00:00Z,2,29,1,4800,4800,F-Si Carbon 2,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-11T00:00:00Z,3,29,1,11190,11190,F-Si Black Inc.,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-11T00:00:00Z,4,29,1,3200,3200,Trigger Carbon 4,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-11T00:00:00Z,5,29,1,7990,7990,Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-14T00:00:00Z,1,30,3,2240,6720,Supersix Evo 105,Road,Elite Road,Carbon,Ann Arbor Speed,Ann Arbor,MI
2011-02-14T00:00:00Z,2,30,1,3200,3200,Supersix Evo Ultegra 3,Road,Elite Road,Carbon,Ann Arbor Speed,Ann Arbor,MI
2011-02-15T00:00:00Z,1,31,1,3200,3200,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
2011-02-15T00:00:00Z,2,31,1,2340,2340,F-Si 1,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
2011-02-15T00:00:00Z,3,31,1,7460,7460,Habit Carbon 1,Mountain,Trail,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-15T00:00:00Z,4,31,1,3200,3200,Jekyll Carbon 4,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-02-15T00:00:00Z,1,32,2,1250,2500,CAAD8 Tiagra,Road,Elite Road,Aluminum,Phoenix Bi-peds,Phoenix,AZ
2011-02-15T00:00:00Z,2,32,1,1960,1960,SuperX 105,Road,Cyclocross,Carbon,Phoenix Bi-peds,Phoenix,AZ
